date,hires,hires_private,unemp,vacancies,empl,ur,eeflow,find_crude,sep_crude,lf,sep_approx,sep,find
2012-04-01,4389,4098,12646,3793,133827,8.2,136043,0.3470662660129685,0.031001561887868644,146473,0.03198906050348582,0.03147025869545672,0.2943650178326177
2012-05-01,4533,4228,12660,3835,133935,8.2,136238,0.3580568720379147,0.03198329358072876,146595,0.033307201254339835,0.03274991744455813,0.30173068961055816
2012-06-01,4440,4121,12692,3911,134007,8.2,136442,0.3498266624645446,0.03124813324846694,146699,0.03204310222600315,0.031518174602410465,0.2967137011187124
2012-07-01,4327,4032,12656,3735,134153,8.2,136297,0.34189317319848295,0.030539477344526795,146809,0.03093482814398485,0.030441366430939865,0.2914003890196385
2012-08-01,4450,4136,12471,3809,134330,8.1,136142,0.3568278405901692,0.031450549605879986,146801,0.03177250055832648,0.031252109977367604,0.3020701388897127
2012-09-01,4302,4022,12115,3882,134512,7.8,136838,0.35509698720594307,0.03004074295234659,146627,0.03080022600214105,0.030312998768448507,0.3006522490412311
2012-10-01,4389,4120,12124,3775,134671,7.8,137314,0.36200923787528866,0.030625510362551536,146795,0.031380178360597255,0.030874440347463894,0.3055495745579818
2012-11-01,4489,4213,12005,3878,134834,7.7,137389,0.37392753019575176,0.0311943876761353,146839,0.031505406648174805,0.030986879638937648,0.3147693247632164
2012-12-01,4452,4162,12298,3970,135075,7.9,137363,0.3620100829403155,0.03105189636513021,147373,0.031552841014251376,0.031038643324653892,0.3058245428563633
2013-01-01,4487,4204,12471,3923,135265,8,137521,0.35979472375912114,0.031286497718184446,147736,0.03110930395889555,0.030599157795342724,0.30521777121700566
2013-02-01,4571,4275,11950,4004,135544,7.7,137324,0.382510460251046,0.03191040675983808,147494,0.03265360325798261,0.03210924121925807,0.31956375102988954
2013-03-01,4369,4100,11689,4076,135689,7.5,137317,0.37377021130977844,0.030305692808900955,147378,0.030820479184016425,0.03032968454777385,0.31408783032839127
2013-04-01,4572,4282,11760,3988,135876,7.6,137376,0.38877551020408163,0.03197720646700238,147636,0.03206600135417592,0.031532656661416136,0.3247261966004076
2013-05-01,4663,4376,11654,4145,136091,7.5,137802,0.4001201304273211,0.03244217273735036,147745,0.03295588980902486,0.03239780533631209,0.33198280714353123
2013-06-01,4440,4196,11751,4150,136269,7.5,137745,0.37784018381414347,0.030635690579525143,148020,0.03168732433642285,0.03117673235366325,0.3161097753239821
2013-07-01,4561,4291,11335,3885,136391,7.3,138115,0.4023820026466696,0.031687040122121764,147726,0.03165164856918712,0.03112842727123344,0.3344264390229794
2013-08-01,4730,4430,11279,4085,136635,7.2,138296,0.41936341874279637,0.03253681697142386,147914,0.033271123796977387,0.03270195139990972,0.34498366817005666
2013-09-01,4726,4433,11270,4128,136819,7.2,138430,0.41934338952972494,0.03253526298075453,148089,0.032934022321461254,0.032371860480879144,0.34545595370204485
2013-10-01,4518,4237,11136,4222,137039,7.2,137757,0.4057112068965517,0.03147759363852557,148175,0.030961988922861394,0.030457330117069525,0.3371371960088594
2013-11-01,4622,4326,10787,4119,137314,6.9,138511,0.42847872439047,0.03175621050799402,148101,0.033266819115312374,0.032713201348025356,0.3492584493987394
2013-12-01,4614,4333,10404,4121,137368,6.7,138765,0.44348327566320644,0.03184713769499982,147772,0.0322491409935356,0.03171367001335734,0.3609544907336295
2014-01-01,4626,4336,10202,4127,137552,6.6,138725,0.45344050186237994,0.03204183417871208,147754,0.03250407118762355,0.031963676004146846,0.3669556612743242
2014-02-01,4696,4405,10349,4373,137707,6.7,139018,0.45376364866170643,0.032585385273670234,148056,0.03207534838461368,0.03153478571838153,0.36903928487594273
2014-03-01,4763,4456,10380,4388,137986,6.7,139191,0.4588631984585742,0.03295159088609268,148366,0.03225689562709255,0.03170672945867392,0.3728012839688791
2014-04-01,4880,4582,9702,4566,138298,6.2,139763,0.5029890744176458,0.03324661259476977,148000,0.033818276475437115,0.033228716888120235,0.39879608050451465
2014-05-01,4808,4522,9859,4747,138501,6.3,139694,0.4876762349122629,0.03278933062910626,148360,0.03231745619165205,0.031763166987066715,0.39153775433920845
2014-06-01,4925,4600,9460,4982,138833,6.1,140025,0.5206131078224101,0.03382044683404368,148293,0.03372397052573961,0.03313298457498104,0.4102549016215351
2014-07-01,5008,4721,9608,4846,139076,6.2,140405,0.5212323064113239,0.03445245522121757,148684,0.034700451551669564,0.034083249969275586,0.4094576565784128
2014-08-01,4810,4542,9599,5349,139258,6.1,140413,0.5010938639441609,0.03255242353630864,148857,0.032350026569389234,0.031797914521389026,0.3994851080636742
2014-09-01,5149,4815,9262,4914,139563,5.9,140610,0.555927445476139,0.034856237282775995,148825,0.035159748643981525,0.03451924691302788,0.43111157388033416
2014-10-01,5111,4806,8990,5012,139805,5.7,140876,0.5685205784204672,0.03436444641565921,148795,0.034526662136547315,0.033903377230982135,0.43934007739866776
2014-11-01,4978,4682,9090,4843,140089,5.8,141304,0.5476347634763477,0.03371848862168595,149179,0.033557238612596296,0.03296820916747201,0.4270741930066172
2014-12-01,5192,4874,8717,5130,140366,5.6,141276,0.5956177584031204,0.035333256854422394,149083,0.03559266489035806,0.03494258639886394,0.4529174367992891
2015-01-01,5061,4744,8885,5344,140562,5.7,141513,0.5696117051209905,0.03443039999140664,149447,0.034105946130533193,0.033499438448652,0.4396806052198976
2015-02-01,5127,4807,8599,5466,140829,5.5,141636,0.5962321200139551,0.03470134031827252,149428,0.03573127693869871,0.03508875479675888,0.4511413123947293
2015-03-01,5126,4797,8515,5210,140924,5.4,141770,0.6019964768056371,0.03436343525106174,149439,0.03440152138741448,0.033783575014080025,0.4583498231233225
2015-04-01,5196,4847,8550,5598,141202,5.4,141994,0.607719298245614,0.034690107933681984,149752,0.03440461183269361,0.033779535301268204,0.4628107050586756
2015-05-01,5142,4819,8834,5563,141540,5.6,142197,0.5820692777903554,0.03452953342824142,150374,0.03523385615373742,0.03460164494331208,0.444445145274699
2015-06-01,5125,4789,8247,5248,141695,5.3,142256,0.6214380987025585,0.03477953456307878,149942,0.034094357599068426,0.033485348912755786,0.46956227437347775
2015-07-01,5150,4798,8167,6056,141989,5.2,142518,0.630586506673197,0.03458913327743276,150156,0.03527738064216246,0.03464538547357687,0.47097835657633513
